site,FGF_r1.30s,FGF_r2.30s,FGF_r3.30s,FGF_r1.2m,FGF_r2.2m,FGF_r3.2m,FGF_r1.5m,FGF_r2.5m,FGF_r3.5m,FGF_r1.30m,FGF_r2.30m,FGF_r3.30m,MAPK1_motif,MTOR_motif,y.MAPK1,y.MTOR,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
TCEB3;125;,0.351958858912327,0.40206877673262603,0.38052686979621003,0.43600755239541394,0.436976832724285,0.40240709101790795,0.392719455900985,0.3893370495502929,0.39471221430280795,0.45989653944024705,0.42389183144149795,0.465919219682365,0.7342657342657339,0.630769230769231,0,0,4,3,0,0,1,3,1,4,2,4,0,3,2,1,2,2,3,0,2,0,0,0,1,2,4,4,1,1,0,3,3,2,0,4,2,1,2,0,4,3,3,0,1,1,3,4,2,2,4,3
THRAP3;740;,0.424590542818734,0.46734066698786497,0.38476910552694105,0.431358470227707,0.430259536225657,0.418078911800443,0.447393373151733,0.398680619574734,0.456969257942008,0.43426368930478404,0.384389748567264,0.465300087409528,0.447552447552447,0.592307692307692,0,0,2,0,3,2,2,3,4,2,2,2,4,0,4,0,4,4,3,3,0,0,2,2,0,0,1,2,4,2,2,1,4,2,0,2,1,3,3,1,1,1,1,0,1,1,0,0,1,1,3,3
NUFIP2;215;,0.42758157799395596,0.43670633038129203,0.38541566385328496,0.444770678703914,0.420546422135457,0.408552120462451,0.407782545429928,0.410384800589433,0.446661198225779,0.43670894290353,0.39215413847235603,0.434879485997428,0.468531468531468,0.484615384615385,0,0,0,2,0,3,4,2,4,0,0,1,0,2,3,4,3,3,0,1,3,0,3,1,0,3,2,1,2,1,1,2,3,0,1,0,2,0,0,1,2,4,3,3,1,3,4,3,3,3,2,4
SDC2;188;,0.38492343963326,0.445472160846565,0.5242113321504629,0.47149248723359294,0.471139427530214,0.534943944516407,0.5223629638997,0.5314703197125421,0.43113268651379294,0.5619546692884949,0.543884031751844,0.419754367507089,0.412587412587413,0.430769230769231,0,0,1,1,3,3,2,0,0,3,3,4,0,0,4,0,2,4,3,1,1,2,1,4,3,1,0,4,2,4,4,4,4,3,4,4,1,3,2,1,0,4,0,2,4,4,0,4,4,0,0,4
RNF219;566;,0.379432905834938,0.417611818950316,0.42831680908492104,0.4436837626550221,0.43601326509138105,0.44942860149936,0.39238613048994,0.466988966580736,0.401155463398751,0.45123937852712603,0.40236820324640504,0.40558733669853003,0.741258741258741,0.6,0,0,1,0,4,3,2,2,0,3,1,0,3,4,4,4,4,2,3,2,2,4,0,4,1,0,1,2,2,0,0,0,2,2,4,1,1,2,0,3,3,2,0,1,2,1,1,1,0,4,2,1
IMMT;106;,0.46147119220078997,0.44232685007499895,0.47065602200890794,0.46675497321272,0.470763252283455,0.44105431567442405,0.43296078817174005,0.464536127096399,0.432302889593274,0.472571458583427,0.47524699378986,0.44493995590866997,0.468531468531468,0.5,0,0,1,2,4,1,3,2,0,2,1,0,3,0,1,1,2,1,3,3,2,4,0,2,2,4,3,1,2,0,3,2,1,3,3,0,4,4,1,1,2,3,2,1,3,2,2,1,1,4,0,1
FAM73B;111;,0.433111532102796,0.43845604917289294,0.410605276168792,0.5094514328022399,0.47139428821442897,0.506389866207082,0.43893530583914203,0.424445598310419,0.420004852706035,0.42868154352816795,0.43678993242291203,0.433439988047346,0.5874125874125871,0.6692307692307691,0,0,0,1,2,2,2,3,3,1,2,2,0,3,1,2,1,4,1,4,0,2,0,0,0,3,1,0,1,2,0,2,1,1,1,4,1,1,3,3,1,3,4,1,4,3,1,1,1,3,3,0
MDC1;733;,0.428999466825101,0.390907956581975,0.4021977226075011,0.437062485481446,0.42665418172190994,0.439263261528363,0.436173694137207,0.45206205134008703,0.42052542360344203,0.43105331318888895,0.46396901248787703,0.458920296552905,0.37062937062937,0.5692307692307691,0,0,1,0,4,2,0,3,3,4,2,3,1,4,2,0,2,3,0,3,2,1,2,1,0,4,1,2,1,3,4,3,4,4,2,4,4,4,1,0,2,1,2,3,3,3,2,2,0,0,3,2
RBMX;249;,0.458850464361394,0.4394948126921961,0.40863700125116703,0.424578204992944,0.41460958146152005,0.49974792749620295,0.49316287864380703,0.516002908794224,0.47271142288449897,0.44141864110249296,0.402166125411168,0.39173889375985993,0.32867132867132803,0.42307692307692296,0,0,0,0,1,0,4,0,0,3,0,2,1,2,2,0,2,3,0,2,2,3,2,2,2,3,1,3,1,4,1,1,4,2,4,2,3,2,4,4,1,2,2,3,0,2,3,4,4,4,2,4
RBSN;214;,0.462140059833702,0.41416023766821997,0.397465595413231,0.42474300093390205,0.449363443247643,0.42736573093549995,0.470590308482591,0.44064638966218106,0.487267168997301,0.41697833237961107,0.454724074773559,0.45023512849373,0.643356643356643,0.7230769230769231,0,0,2,0,4,2,4,0,4,0,0,4,1,1,2,0,3,4,2,1,0,1,0,1,2,0,4,4,4,0,4,4,0,3,3,1,2,4,3,0,3,1,0,1,4,0,4,4,0,1,0,1
